licenseID, name, surname, phone_number, cash, numberPlate, color, model, type
license123, akhil, boddu, 0736737271, 1000, ca123, red, ferrari, X
license124, asif, hassam, 0736737272, 2000, ca124, purple, lamborghini, X
license125, Zack, Davidson, 0736737274, 3000, ca125, blue, bmwX5, XL
license126, Batman, TheCapedCrusader, 0736737275, 5000, ca115, yellow, BatMobile, X
license127, ThatGuy, OverThere, 0736737215, 9000, ca515, black, GWagon, XL
license128, Captain, America, 0736712215, 12000, cp915, silver, ShieldRide, X
license129, Samurai, Jack, 0736712125, 12001, ct015, lime, AstonMartin, X
license139, Steven, Strange, 0836712125, 12002, cpt015, green, Teleportation, XL
license149, Billy, ThatOneKid, 0836712126, 12020, cpt025, black, RS3, XL
license150, Barry, Allen, 0936712126, 12030, cpt025, red, The Flashes back, XL
license151, Martian, Manhunter, 0136712126, 12050, cpt029, grey, TeslaModelX, X
license152, IAm, Ironman, 0934712126, 12930, cpt035, lightblue, RangeRover, XL
license153, Wade, Wilson, 0934712129, 13930, cpt045, blue, DeapoolMobile, XL
